title,link,website,stars,reviews,phone
KKIT Lawyers ( Adv Mehmood Husain Ch ),https://www.google.com/maps/place/KKIT+Lawyers+%28+Adv+Mehmood+Husain+Ch+%29/data=!4m7!3m6!1s0x3eb33f380017c813:0xe7ee7831e61d90ba!8m2!3d24.8586647!4d67.0271631!16s%2Fg%2F11s417jnj0!19sChIJE8gXADg_sz4RupAd5jF47uc?authuser=0&hl=en&rclk=1,,5.0,2,+92 345 4603441
"Abid Feroze & Associates, Lawyers","https://www.google.com/maps/place/Abid+Feroze+%26+Associates,+Lawyers/data=!4m7!3m6!1s0x3eb33fab10c43637:0xac33f2008277bf60!8m2!3d24.8512797!4d67.0292386!16s%2Fg%2F11t6_q9s_1!19sChIJNzbEEKs_sz4RYL93ggDyM6w?authuser=0&hl=en&rclk=1",,5.0,1,+92 333 2443230
Atta & Qazi Law Associates,https://www.google.com/maps/place/Atta+%26+Qazi+Law+Associates/data=!4m7!3m6!1s0x3eb33d5b68efa457:0xb1bbaa9253078235!8m2!3d24.8585767!4d67.0275487!16s%2Fg%2F11jgkyr3f9!19sChIJV6TvaFs9sz4RNYIHU5Kqu7E?authuser=0&hl=en&rclk=1,,5.0,1,+92 300 3299234
Paradise Chambers,https://www.google.com/maps/place/Paradise+Chambers/data=!4m7!3m6!1s0x3eb33f8d9676461b:0xce9c7d285e701852!8m2!3d24.8581777!4d67.0237067!16s%2Fg%2F11fpg9_9d_!19sChIJG0Z2lo0_sz4RUhhwXih9nM4?authuser=0&hl=en&rclk=1,https://www.sardarco.org/,4.7,9,
JJ Law Associates,https://www.google.com/maps/place/JJ+Law+Associates/data=!4m7!3m6!1s0x3eb33f2892f1eff7:0xf1a36c33856f305b!8m2!3d24.8538694!4d67.0098219!16s%2Fg%2F11l5pzp7p3!19sChIJ9-_xkig_sz4RWzBvhTNso_E?authuser=0&hl=en&rclk=1,,5.0,2,+92 333 0300666
Chisty Law Chambers Karachi - Law Firm,https://www.google.com/maps/place/Chisty+Law+Chambers+Karachi+-+Law+Firm/data=!4m7!3m6!1s0x3eb33fa6504847ab:0x4714b0b8ddae9b88!8m2!3d24.8614947!4d67.0663673!16s%2Fg%2F11hxzgl6vv!19sChIJq0dIUKY_sz4RiJuu3biwFEc?authuser=0&hl=en&rclk=1,https://www.chistylawchambers.com/,4.4,50,+92 21 34541401
Sarmast Law Associates,https://www.google.com/maps/place/Sarmast+Law+Associates/data=!4m7!3m6!1s0x3eb33f83d6ebe045:0x87d45d30a77effdc!8m2!3d24.8518425!4d67.0069138!16s%2Fg%2F11fmh83sxy!19sChIJReDr1oM_sz4R3P9-pzBd1Ic?authuser=0&hl=en&rclk=1,,4.2,6,+92 333 2132578
Dicvvorce Lawyer Karachi,https://www.google.com/maps/place/Dicvvorce+Lawyer+Karachi/data=!4m7!3m6!1s0x3eb33e0221896aab:0x1e7728552c05c2f5!8m2!3d24.8508871!4d67.0004125!16s%2Fg%2F11l5h8zw24!19sChIJq2qJIQI-sz4R9cIFLFUodx4?authuser=0&hl=en&rclk=1,http://divorcelawyerkarachi.com/,,,+92 346 4988403
Family Divorce Khula Court Marriage Registration Woman Rights Property Child Custody High Court Lawyer Customs Tax Tribunal,https://www.google.com/maps/place/Family+Divorce+Khula+Court+Marriage+Registration+Woman+Rights+Property+Child+Custody+High+Court+Lawyer+Customs+Tax+Tribunal/data=!4m7!3m6!1s0x3eb33d8f7f6e25b5:0xcb5c086670c853e!8m2!3d24.8362541!4d67.0336379!16s%2Fg%2F11cfhz9p1!19sChIJtSVuf489sz4RPoUMZ4bAtQw?authuser=0&hl=en&rclk=1,,3.0,4,+92 300 8233580
MMLAW,https://www.google.com/maps/place/MMLAW/data=!4m7!3m6!1s0x3eb33f2d76984d47:0xde94c230fecf9a29!8m2!3d24.8559111!4d67.0050397!16s%2Fg%2F11lglhdhqc!19sChIJR02Ydi0_sz4RKZrP_jDClN4?authuser=0&hl=en&rclk=1,,,,+92 303 2888380
Immigration Advisory Services,https://www.google.com/maps/place/Immigration+Advisory+Services/data=!4m7!3m6!1s0x3eb33e8335141b19:0x44bfb7c605963181!8m2!3d24.8577144!4d67.0455718!16s%2Fg%2F1tjf8r6p!19sChIJGRsUNYM-sz4RgTGWBca3v0Q?authuser=0&hl=en&rclk=1,http://www.iaspk.org/,4.9,42,+92 21 34302518
Free Legal Advice,https://www.google.com/maps/place/Free+Legal+Advice/data=!4m7!3m6!1s0x3eb333a36b941e01:0xb44d82c4e121f2ae!8m2!3d24.8561108!4d67.0048254!16s%2Fg%2F11vbs0dxqd!19sChIJAR6Ua6Mzsz4RrvIh4cSCTbQ?authuser=0&hl=en&rclk=1,,5.0,8,+92 333 2888406
Sardar & Co,https://www.google.com/maps/place/Sardar+%26+Co/data=!4m7!3m6!1s0x3eb33f0489152781:0xf2d15314420de1cd!8m2!3d24.858261!4d67.0237993!16s%2Fg%2F11t6pmtjvc!19sChIJgScViQQ_sz4RzeENQhRT0fI?authuser=0&hl=en&rclk=1,https://www.sardarco.org/contact-us/,5.0,4,+92 316 2155950
Legal Consultation,https://www.google.com/maps/place/Legal+Consultation/data=!4m7!3m6!1s0x3eb33ff9e14e873d:0xe2cd8591f738756a!8m2!3d24.8587171!4d67.0272225!16s%2Fg%2F11j4f6dnt6!19sChIJPYdO4fk_sz4RanU495GFzeI?authuser=0&hl=en&rclk=1,,4.0,1,+92 335 2442050
Saleem Altaf & Co.,https://www.google.com/maps/place/Saleem+Altaf+%26+Co./data=!4m7!3m6!1s0x3eb33e135eb56d05:0xe75a5bbbec50b959!8m2!3d24.8648964!4d67.0215046!16s%2Fg%2F11clyqkqmc!19sChIJBW21XhM-sz4RWblQ7LtbWuc?authuser=0&hl=en&rclk=1,,5.0,1,+92 313 2723407
Property Law Advisor,https://www.google.com/maps/place/Property+Law+Advisor/data=!4m7!3m6!1s0x3eb33f06c74eb501:0xd3eba8cf7e29c5e5!8m2!3d24.9045712!4d67.0508922!16s%2Fg%2F11g_60952!19sChIJAbVOxwY_sz4R5cUpfs-o69M?authuser=0&hl=en&rclk=1,http://www.facebook.com/laddoolemonlime,4.0,1,+92 300 3777276
BUKHARI ASSOCIATES,https://www.google.com/maps/place/BUKHARI+ASSOCIATES/data=!4m7!3m6!1s0x3eb33ff0510602e9:0x8626317a1ad09d11!8m2!3d24.852139!4d67.0064221!16s%2Fg%2F11j65h4dvn!19sChIJ6QIGUfA_sz4REZ3QGnoxJoY?authuser=0&hl=en&rclk=1,,5.0,1,+92 321 9285372
FFB Law Associates,https://www.google.com/maps/place/FFB+Law+Associates/data=!4m7!3m6!1s0x3eb33eafec017da9:0xc845372d7d1821e!8m2!3d24.8683576!4d67.0826429!16s%2Fg%2F11fy4z__rn!19sChIJqX0B7K8-sz4RHoLR13JThAw?authuser=0&hl=en&rclk=1,http://www.ffblawpk.com/,5.0,4,
BABAR ALI AND CO ADVOCATES,https://www.google.com/maps/place/BABAR+ALI+AND+CO+ADVOCATES/data=!4m7!3m6!1s0x3eb33f763af52699:0x22c8a07dff60086!8m2!3d24.904517!4d67.0778327!16s%2Fg%2F11q318rbhx!19sChIJmSb1OnY_sz4RhgD23weKLAI?authuser=0&hl=en&rclk=1,https://sites.google.com/view/babaraliandcoadvocates,4.7,14,+92 336 3504140
Zabar Law Associates,https://www.google.com/maps/place/Zabar+Law+Associates/data=!4m7!3m6!1s0x3eb33ea3c359a97d:0x1854155867001d6c!8m2!3d24.8632639!4d67.0743981!16s%2Fg%2F11fyx8tx7b!19sChIJfalZw6M-sz4RbB0AZ1gVVBg?authuser=0&hl=en&rclk=1,http://www.zabar.com.pk/,4.1,49,+92 21 37234206
Fazleghani Advocates,https://www.google.com/maps/place/Fazleghani+Advocates/data=!4m7!3m6!1s0x3eb33d7249d885e5:0x524032649866931b!8m2!3d24.8316831!4d67.0379969!16s%2Fg%2F11h3mtcw5h!19sChIJ5YXYSXI9sz4RG5NmmGQyQFI?authuser=0&hl=en&rclk=1,http://fazleghani.com/,3.8,44,+92 21 35879511
Saulatbari&Co,https://www.google.com/maps/place/Saulatbari%26Co/data=!4m7!3m6!1s0x3eb33f7f697f7e35:0x3b7708390ec51d6d!8m2!3d24.8704542!4d67.0616308!16s%2Fg%2F11hg5q5fjn!19sChIJNX5_aX8_sz4RbR3FDjkIdzs?authuser=0&hl=en&rclk=1,,5.0,2,+92 21 34548536
UK Visa Refusals Consultant,https://www.google.com/maps/place/UK+Visa+Refusals+Consultant/data=!4m7!3m6!1s0x3eb33f48cfe5454d:0x2cf2c5ec0a717484!8m2!3d24.8782837!4d67.0188565!16s%2Fg%2F11fn5_dkj4!19sChIJTUXlz0g_sz4RhHRxCuzF8iw?authuser=0&hl=en&rclk=1,,5.0,1,+92 345 2598991
Wajahat Law Associate,https://www.google.com/maps/place/Wajahat+Law+Associate/data=!4m7!3m6!1s0x3eb33f82a07bb6c5:0xac4283e0f9d54a34!8m2!3d24.8619724!4d67.0254126!16s%2Fg%2F11vhyflxz7!19sChIJxbZ7oII_sz4RNErV-eCDQqw?authuser=0&hl=en&rclk=1,,5.0,8,+92 344 3990032
Ghazi & Magsi - G&M Law Firm,https://www.google.com/maps/place/Ghazi+%26+Magsi+-+G%26M+Law+Firm/data=!4m7!3m6!1s0x392e5f1dd572a659:0x9f1a4b6b7ba938d5!8m2!3d24.8271845!4d67.0338927!16s%2Fg%2F11b5qy6bxm!19sChIJWaZy1R1fLjkR1Tipe2tLGp8?authuser=0&hl=en&rclk=1,https://www.mgmlegal.org/,4.2,5,+92 21 35822618
MMK Advocates & Solicitors,https://www.google.com/maps/place/MMK+Advocates+%26+Solicitors/data=!4m7!3m6!1s0x3eb33f0041dbd1d7:0x7684d5c3c1ca5e84!8m2!3d24.8523704!4d67.0074782!16s%2Fg%2F11vxwbndfr!19sChIJ19HbQQA_sz4RhF7KwcPVhHY?authuser=0&hl=en&rclk=1,,4.9,18,
Ismail Padhiar Advocates & Company,https://www.google.com/maps/place/Ismail+Padhiar+Advocates+%26+Company/data=!4m7!3m6!1s0x3eb33e04116eebc3:0x1021ba5917ad734d!8m2!3d24.8524085!4d67.0057519!16s%2Fg%2F11byp6kjt5!19sChIJw-tuEQQ-sz4RTXOtF1m6IRA?authuser=0&hl=en&rclk=1,,,,+92 21 32410283
Nishtar & Zafar | Advocates & Corporate Counsels,https://www.google.com/maps/place/Nishtar+%26+Zafar+%7C+Advocates+%26+Corporate+Counsels/data=!4m7!3m6!1s0x3eb33dc47d052ca9:0xea1a4a379f1121aa!8m2!3d24.8355002!4d67.0292026!16s%2Fg%2F1hc7nsw0d!19sChIJqSwFfcQ9sz4RqiERnzdKGuo?authuser=0&hl=en&rclk=1,,4.1,23,+92 21 35861219
Shahzaib Abdullah & Co.,https://www.google.com/maps/place/Shahzaib+Abdullah+%26+Co./data=!4m7!3m6!1s0x3eb33d05d420a5e9:0x8ee6d3646d93ea70!8m2!3d24.8261372!4d67.0261992!16s%2Fg%2F11vbdx17yz!19sChIJ6aUg1AU9sz4RcOqTbWTT5o4?authuser=0&hl=en&rclk=1,http://www.lawyersofpakistan.com/lawyer/shahzaib,5.0,4,+92 336 2418786
KMS Law Associates,https://www.google.com/maps/place/KMS+Law+Associates/data=!4m7!3m6!1s0x3eb33d85cadc5a5d:0x3429b7288fa4f56a!8m2!3d24.8448918!4d67.0241382!16s%2Fg%2F11f7byzhfd!19sChIJXVrcyoU9sz4RavWkjyi3KTQ?authuser=0&hl=en&rclk=1,,3.8,6,+92 21 35675221
Aziz Ahmed Shar Advocate High Court at Karachi.,https://www.google.com/maps/place/Aziz+Ahmed+Shar+Advocate+High+Court+at+Karachi./data=!4m7!3m6!1s0x3eb33febdef9e559:0x4645405f23c7d034!8m2!3d24.8593327!4d67.0257954!16s%2Fg%2F11p064fnqk!19sChIJWeX53us_sz4RNNDHI19ARUY?authuser=0&hl=en&rclk=1,,5.0,1,+92 300 9245896
Active Lawyers Law Firm,https://www.google.com/maps/place/Active+Lawyers+Law+Firm/data=!4m7!3m6!1s0x3eb33f0b5adab56f:0xdd009601c10db16f!8m2!3d24.8555289!4d67.0051693!16s%2Fg%2F11sx08hjpy!19sChIJb7XaWgs_sz4Rb7ENwQGWAN0?authuser=0&hl=en&rclk=1,,,,+92 345 2289918
Amir Ismail & Associates - Citizenship and Immigration Solutions - Karachi Office,https://www.google.com/maps/place/Amir+Ismail+%26+Associates+-+Citizenship+and+Immigration+Solutions+-+Karachi+Office/data=!4m7!3m6!1s0x3eb33e782769dcaf:0xbe890a032704f330!8m2!3d24.852265!4d67.034723!16s%2Fg%2F11ckqs1gr9!19sChIJr9xpJ3g-sz4RMPMEJwMKib4?authuser=0&hl=en&rclk=1,https://www.amirismail.com/,5.0,976,+92 333 2877883
Amir Ismail & Associates - Citizenship and Immigration Solutions - Karachi Office,https://www.google.com/maps/place/Amir+Ismail+%26+Associates+-+Citizenship+and+Immigration+Solutions+-+Karachi+Office/data=!4m7!3m6!1s0x3eb33e782769dcaf:0xbe890a032704f330!8m2!3d24.852265!4d67.034723!16s%2Fg%2F11ckqs1gr9!19sChIJr9xpJ3g-sz4RMPMEJwMKib4?authuser=0&hl=en&rclk=1,https://www.amirismail.com/,5.0,976,+92 333 2877883
lawyer associates,https://www.google.com/maps/place/lawyer+associates/data=!4m7!3m6!1s0x3eb33da00b83de7b:0x27d802913de2d325!8m2!3d24.8532788!4d67.0687066!16s%2Fg%2F11p_6qfss2!19sChIJe96DC6A9sz4RJdPiPZEC2Cc?authuser=0&hl=en&rclk=1,,,,+92 300 2203619
FAY and LAW Associates,https://www.google.com/maps/place/FAY+and+LAW+Associates/data=!4m7!3m6!1s0x3eb33ffe6f6bf749:0x10f5a7c2f836a50a!8m2!3d24.8662217!4d67.0566441!16s%2Fg%2F11lpx85b7w!19sChIJSfdrb_4_sz4RCqU2-MKn9RA?authuser=0&hl=en&rclk=1,,5.0,4,+92 21 34387227
Nehal Hashmi Law Associates,https://www.google.com/maps/place/Nehal+Hashmi+Law+Associates/data=!4m7!3m6!1s0x3eb33f7151d3261d:0x9119e16033caea8f!8m2!3d24.8510639!4d67.0168121!16s%2Fg%2F11rn7dj0hl!19sChIJHSbTUXE_sz4Rj-rKM2DhGZE?authuser=0&hl=en&rclk=1,https://www.linkedin.com/company/nhla-org-law/,5.0,2,+92 21 37220543
Amar Law Associates,https://www.google.com/maps/place/Amar+Law+Associates/data=!4m7!3m6!1s0x3eb33f31a7b5a1b9:0xb6dfe128d514432a!8m2!3d24.8518425!4d67.0069138!16s%2Fg%2F11v6dfbn1g!19sChIJuaG1pzE_sz4RKkMU1Sjh37Y?authuser=0&hl=en&rclk=1,,5.0,3,
Abdul Majeed Khoso & Associates- Best Law Firm in Karachi.,https://www.google.com/maps/place/Abdul+Majeed+Khoso+%26+Associates-+Best+Law+Firm+in+Karachi./data=!4m7!3m6!1s0x3eb33f65b4d79409:0x1e3bc54c6c88b0df!8m2!3d24.8479478!4d67.0002562!16s%2Fg%2F11shs4y92g!19sChIJCZTXtGU_sz4R37CIbEzFOx4?authuser=0&hl=en&rclk=1,,4.0,4,+92 333 3488322
ZIA BASHIR LAW ASSOCIATES KARACHI PAKISTAN,https://www.google.com/maps/place/ZIA+BASHIR+LAW+ASSOCIATES+KARACHI+PAKISTAN/data=!4m7!3m6!1s0x3eb33e06598dfceb:0x62b35d009197bb29!8m2!3d24.8586895!4d67.0275864!16s%2Fg%2F11cmts2q3b!19sChIJ6_yNWQY-sz4RKbuXkQBds2I?authuser=0&hl=en&rclk=1,,,,+92 333 3665991
Haider Naqi & Co. (Advocates) Income Tax Sales Tax Adviser. Corporate Customs & Legal Consultant,https://www.google.com/maps/place/Haider+Naqi+%26+Co.+%28Advocates%29+Income+Tax+Sales+Tax+Adviser.+Corporate+Customs+%26+Legal+Consultant/data=!4m7!3m6!1s0x3eb33e72c6992829:0xda3abbbc8ee5301f!8m2!3d24.858185!4d67.023642!16s%2Fg%2F11gbsm1wqj!19sChIJKSiZxnI-sz4RHzDljry7Oto?authuser=0&hl=en&rclk=1,,5.0,4,+92 21 35680570
Arif Associates,https://www.google.com/maps/place/Arif+Associates/data=!4m7!3m6!1s0x3eb33e1369d2e031:0x7cea58dc4e07f8a4!8m2!3d24.8641401!4d67.021102!16s%2Fg%2F11bwyllrq4!19sChIJMeDSaRM-sz4RpPgHTtxY6nw?authuser=0&hl=en&rclk=1,,4.4,22,+92 333 2778383
"Wakeel office, Z B Associate","https://www.google.com/maps/place/Wakeel+office,+Z+B+Associate/data=!4m7!3m6!1s0x3eb33f7b686b7db9:0xced0d672e9401f64!8m2!3d24.9076758!4d67.0376636!16s%2Fg%2F11q98f04ff!19sChIJuX1raHs_sz4RZB9A6XLW0M4?authuser=0&hl=en&rclk=1",,3.0,2,
FAB & ASSOCIATES (Law Firm),https://www.google.com/maps/place/FAB+%26+ASSOCIATES+%28Law+Firm%29/data=!4m7!3m6!1s0x3eb33fcf8f9c0ad5:0x1c2d494bec908bef!8m2!3d24.8531425!4d67.007088!16s%2Fg%2F11vpv1n3yq!19sChIJ1Qqcj88_sz4R74uQ7EtJLRw?authuser=0&hl=en&rclk=1,,5.0,8,+92 300 2377083
Badami Law Associates,https://www.google.com/maps/place/Badami+Law+Associates/data=!4m7!3m6!1s0x3eb33dde40d60411:0x60b0cea565271268!8m2!3d24.8448893!4d67.0240725!16s%2Fg%2F11g5_ff1h8!19sChIJEQTWQN49sz4RaBInZaXOsGA?authuser=0&hl=en&rclk=1,http://www.badamilaw.com/,5.0,4,+92 21 35658857
Ashfaq associates,https://www.google.com/maps/place/Ashfaq+associates/data=!4m7!3m6!1s0x3eb33f5a4d9f24b3:0x7c6156acafa94d4f!8m2!3d24.8532707!4d67.0050868!16s%2Fg%2F11gnhf6h03!19sChIJsySfTVo_sz4RT02pr6xWYXw?authuser=0&hl=en&rclk=1,,5.0,2,
Sanaullah & Co.,https://www.google.com/maps/place/Sanaullah+%26+Co./data=!4m7!3m6!1s0x3eb33ea451ff8407:0x5b9663687fc0b368!8m2!3d24.8651065!4d67.0788656!16s%2Fg%2F11c6cpl3ss!19sChIJB4T_UaQ-sz4RaLPAf2hjlls?authuser=0&hl=en&rclk=1,https://www.sanaullah.co/,4.5,54,+92 21 34330002
Head Office Quaid i Azam University Lawyers forum (Sindh Chapter),https://www.google.com/maps/place/Head+Office+Quaid+i+Azam+University+Lawyers+forum+%28Sindh+Chapter%29/data=!4m7!3m6!1s0x3eb33f967b6998b3:0x16d1f35aeea7aefe!8m2!3d24.8585767!4d67.0275487!16s%2Fg%2F11k3q3p93_!19sChIJs5hpe5Y_sz4R_q6n7lrz0RY?authuser=0&hl=en&rclk=1,,5.0,1,
Mahmood Chaudhri & Co,https://www.google.com/maps/place/Mahmood+Chaudhri+%26+Co/data=!4m7!3m6!1s0x3eb33e0f9a699a9f:0x5e27231ed77fb8e8!8m2!3d24.8558021!4d67.0117126!16s%2Fg%2F12qghm676!19sChIJn5ppmg8-sz4R6Lh_1x4jJ14?authuser=0&hl=en&rclk=1,,,,+92 21 32639890
Ijaz Ahmed and Associates,https://www.google.com/maps/place/Ijaz+Ahmed+and+Associates/data=!4m7!3m6!1s0x3eb33dafea22c977:0xef31f42c98f95879!8m2!3d24.8150461!4d67.0326926!16s%2Fg%2F1th0wv6g!19sChIJd8ki6q89sz4ReVj5mCz0Me8?authuser=0&hl=en&rclk=1,,3.0,2,+92 21 35833687
The Lawyers & Associates,https://www.google.com/maps/place/The+Lawyers+%26+Associates/data=!4m7!3m6!1s0x3eb33fbb63c6de79:0x33dec9f13aa60a60!8m2!3d24.8992059!4d67.0745788!16s%2Fg%2F11rqyw15_s!19sChIJed7GY7s_sz4RYAqmOvHJ3jM?authuser=0&hl=en&rclk=1,,4.5,11,+92 334 3718186
Insaf Chamber Building,https://www.google.com/maps/place/Insaf+Chamber+Building/data=!4m7!3m6!1s0x3eb33fb0b12e2ec1:0x43a6f39403fec4e4!8m2!3d24.8560117!4d67.009201!16s%2Fg%2F11h0lzm4tr!19sChIJwS4usbA_sz4R5MT-A5TzpkM?authuser=0&hl=en&rclk=1,,3.9,33,+92 313 2056106
The Real Quresh Law Associates (Furqan),https://www.google.com/maps/place/The+Real+Quresh+Law+Associates+%28Furqan%29/data=!4m7!3m6!1s0x3eb33f32a5893b6d:0x7f22e21822402cc7!8m2!3d24.8585767!4d67.0275487!16s%2Fg%2F11pz53n4xb!19sChIJbTuJpTI_sz4RxyxAIhjiIn8?authuser=0&hl=en&rclk=1,,,,+92 345 2066049
